"DOI.ISBN","rcross_title","rcross_author","rcross_found"
"10.1007/s10144-015-0519-9","Population Ecology","Lemke",TRUE
"10.1007/s10144-017-0572-7","Population Ecology","Hernández-Pedrero",TRUE
"10.1007/s10265-002-0042-x","Journal of Plant Research","Kaneko",TRUE
"10.1007/s10457-011-9447-7","Agroforestry Systems","Somarriba",TRUE
"10.1007/s10530-004-0870-9","Biological Invasions","Lambrecht-McDowell",TRUE
"10.1007/s10530-004-5572-9","Biological Invasions","Hyatt",TRUE
"10.1007/s10530-005-5277-8","Biological Invasions","DeWalt",TRUE
"10.1007/s10530-006-9082-9","Biological Invasions","Hüls",TRUE
"10.1007/s10531-004-0827-4","Biodiversity and Conservation","Sinha",TRUE
"10.1007/s10531-010-9846-5","Biodiversity and Conservation","Quitete Portela",TRUE
"10.1007/s10592-010-0056-1","Conservation Genetics","Noël",TRUE
"10.1007/s11258-004-0017-1","Plant Ecology","Fréville",TRUE
"10.1007/s11258-004-0026-0","Plant Ecology","Endels",TRUE
"10.1007/s11258-005-9006-2","Plant Ecology","Wikberg",TRUE
"10.1007/s11258-006-9135-2","Plant Ecology","Pérez-Farrera",TRUE
"10.1007/s11258-007-9393-7","Plant Ecology","Abe",TRUE
"10.1007/s11258-008-9397-y","Plant Ecology","Jongejans",TRUE
"10.1007/s11258-010-9737-6","Plant Ecology","Martínez",TRUE
"10.1007/s11258-010-9749-2","Plant Ecology","Christensen",TRUE
"10.1007/s11258-010-9761-6","Plant Ecology","Law",TRUE
"10.1007/s11258-010-9762-5","Plant Ecology","Hill Bermingham",TRUE
"10.1007/s11258-011-9906-2","Plant Ecology","Evju",TRUE
"10.1007/s11258-012-0068-7","Plant Ecology","Wall",TRUE
"10.1007/s11258-012-0110-9","Plant Ecology","Pisanu",TRUE
"10.1007/s11258-014-0344-9","Plant Ecology","Scanga",TRUE
"10.1007/s11258-014-0382-3","Plant Ecology","Sosnová",TRUE
"10.1007/s11258-016-0655-0","Plant Ecology","de Campos Franci",TRUE
"10.1007/s12224-012-9123-3","Folia Geobotanica","Wallin",TRUE
"10.1007/s12231-010-9117-0","Economic Botany","Jiménez-Valdés",TRUE
"10.1007/s12231-014-9295-2","Economic Botany","Torres",TRUE
"10.1007/s12237-014-9807-4","Estuaries and Coasts","Strazisar",TRUE
"10.1007/sl 1258-008-9460-8",NA,NA,FALSE
"10.1007/sl0l44-005-0238-8",NA,NA,FALSE
"10.1016/0006-3207(88)90069-9","Biological Conservation","Pavlik",TRUE
"10.1016/0378-1127(93)90045-O","Forest Ecology and Management","Condit",TRUE
"10.1016/j.actao.2005.05.009","Acta Oecologica","Zotz",TRUE
"10.1016/j.actao.2007.11.005","Acta Oecologica","Ramula",TRUE
"10.1016/j.actao.2013.02.010","Acta Oecologica","López-Mata",TRUE
"10.1016/j.actao.2014.05.009","Acta Oecologica","Toledo-Aceves",TRUE
"10.1016/j.actao.2014.12.004","Acta Oecologica","Mandujano",TRUE
"10.1016/j.actao.2016.01.006","Acta Oecologica","Arroyo-Cosultchi",TRUE
"10.1016/j.actao.2016.01.007","Acta Oecologica","Toledo-Aceves",TRUE
"10.1016/j.baae.2006.05.003","Basic and Applied Ecology","Winkler",TRUE
"10.1016/j.baae.2014.08.006","Basic and Applied Ecology","Raghu",TRUE
"10.1016/j.baae.2015.02.009","Basic and Applied Ecology","Silva",TRUE
"10.1016/j.biocon.2004.03.019","Biological Conservation","Ticktin",TRUE
"10.1016/j.biocon.2005.02.001","Biological Conservation","Adams",TRUE
"10.1016/j.biocon.2005.07.022","Biological Conservation","Zotz",TRUE
"10.1016/j.biocon.2005.08.002","Biological Conservation","Menges",TRUE
"10.1016/j.biocon.2006.01.010","Biological Conservation","Van der Voort",TRUE
"10.1016/j.biocon.2006.04.028","Biological Conservation","Liddle",TRUE
"10.1016/j.biocon.2006.07.012","Biological Conservation","MASCHINSKI",TRUE
"10.1016/j.biocon.2006.09.018","Biological Conservation","Satterthwaite",TRUE
"10.1016/j.biocon.2006.10.038","Biological Conservation","Jiménez-Sierra",TRUE
"10.1016/j.biocon.2007.01.010","Biological Conservation","Marrero-Gómez",TRUE
"10.1016/j.biocon.2008.04.015","Biological Conservation","Zhang",TRUE
"10.1016/j.biocon.2008.12.022","Biological Conservation","Habrova",TRUE
"10.1016/j.biocon.2009.12.017","Biological Conservation","Sletvold",TRUE
"10.1016/j.biocon.2009.12.037","Biological Conservation","Auestad",TRUE
"10.1016/j.biocon.2010.08.007","Biological Conservation","Álvarez-Yépiz",TRUE
"10.1016/j.biocon.2011.12.012","Biological Conservation","Andrello",TRUE
"10.1016/j.biocon.2012.01.061","Biological Conservation","Scanga",TRUE
"10.1016/j.biocon.2012.03.018","Biological Conservation","Schmidt",TRUE
"10.1016/j.biocon.2013.03.011","Biological Conservation","He",TRUE
"10.1016/j.biocon.2015.04.006","Biological Conservation","Jolls",TRUE
"10.1016/j.cropro.2004.09.019","Crop Protection","Gonzalez-Andujar",TRUE
"10.1016/j.ecolmodel.2003.12.044","Ecological Modelling","Raventós",TRUE
"10.1016/j.ecolmodel.2005.05.009","Ecological Modelling","Le Corff",TRUE
"10.1016/j.ecolmodel.2005.07.020","Ecological Modelling","Logofet",TRUE
"10.1016/j.ecolmodel.2005.10.009","Ecological Modelling","Garnier",TRUE
"10.1016/j.ecolmodel.2006.09.005","Ecological Modelling","Sebert-Cuvillier",TRUE
"10.1016/j.ecolmodel.2010.06.010","Ecological Modelling","Picard",TRUE
"10.1016/j.ecolmodel.2012.07.022","Ecological Modelling","Klimas",TRUE
"10.1016/j.envexpbot.2011.03.013","Environmental and Experimental Botany","Jäkäläniemi",TRUE
"10.1016/j.envsoft.2015.10.026","Environmental Modelling & Software","Zull",TRUE
"10.1016/j.foreco.2005.02.052","Forest Ecology and Management","Rodríguez-Buriticá",TRUE
"10.1016/j.foreco.2005.02.056","Forest Ecology and Management","Lamar",TRUE
"10.1016/j.foreco.2005.03.066","Forest Ecology and Management","Emanuel",TRUE
"10.1016/j.foreco.2005.05.065","Forest Ecology and Management","Couralet",TRUE
"10.1016/j.foreco.2005.10.072","Forest Ecology and Management","Hernández-Apolinar",TRUE
"10.1016/j.foreco.2006.09.029","Forest Ecology and Management","Guedje",TRUE
"10.1016/j.foreco.2008.02.040","Forest Ecology and Management","Lin",TRUE
"10.1016/j.foreco.2008.02.041","Forest Ecology and Management","Picard",TRUE
"10.1016/j.foreco.2010.10.028","Forest Ecology and Management","Lázaro-Zermeño",TRUE
"10.1016/j.foreco.2011.05.011","Forest Ecology and Management","Maloney",TRUE
"10.1016/j.foreco.2013.04.013","Forest Ecology and Management","Venter",TRUE
"10.1016/j.foreco.2015.06.022","Forest Ecology and Management","Baldauf",TRUE
"10.1016/j.foreco.2016.03.028","Forest Ecology and Management","Aschero",TRUE
"10.1016/j.foreco.2016.09.022","Forest Ecology and Management","Jules",TRUE
"10.1016/j.jaridenv.2005.06.001","Journal of Arid Environments","Valverde",TRUE
"10.1016/j.jaridenv.2005.07.002","Journal of Arid Environments","Jiménez-Lobato",TRUE
"10.1016/j.jaridenv.2011.01.015","Journal of Arid Environments","Portilla-Alonso",TRUE
"10.1016/j.jaridenv.2011.09.005","Journal of Arid Environments","Morales-Romero",TRUE
"10.1016/j.jaridenv.2012.08.006","Journal of Arid Environments","Zepeda-Martínez",TRUE
"10.1016/j.jnc.2011.05.005","Journal for Nature Conservation","Lozano",TRUE
"10.1016/j.ppees.2005.11.001","Perspectives in Plant Ecology, Evolution and Systematics","NEHRBASS",TRUE
"10.1016/j.tpb.2006.05.003","Theoretical Population Biology","Hastings",TRUE
"10.1016/S0006-3207(00)00089-6","Biological Conservation","Soehartono",TRUE
"10.1016/S0006-3207(01)00113-6","Biological Conservation","Garcı́a",TRUE
"10.1016/S0006-3207(02)00303-8","Biological Conservation","Raimondo",TRUE
"10.1016/S0006-3207(02)00417-2","Biological Conservation","Osunkoya",TRUE
"10.1016/S0378-1127(02)00566-2","Forest Ecology and Management","Hoffmann",TRUE
"10.1016/S0378-1127(96)03890-X","Forest Ecology and Management","Boucher",TRUE
"10.1016/S1872-2032(08)60021-9","Acta Ecologica Sinica","Zhongjian",TRUE
"10.1017/S0266467400001620","Journal of Tropical Ecology","Barot",TRUE
"10.1017/S0266467402002018","Journal of Tropical Ecology","ZUIDEMA",TRUE
"10.1017/S0266467403001287","Journal of Tropical Ecology","Mondragón",TRUE
"10.1017/S0266467404001609","Journal of Tropical Ecology","Nabe-Nielsen",TRUE
"10.1017/S0266467406003877","Journal of Tropical Ecology","Pulido",TRUE
"10.1017/S0266467408005312","Journal of Tropical Ecology","Kouassi",TRUE
"10.1017/S0266467408005713","Journal of Tropical Ecology","Cruz-Rodríguez",TRUE
"10.1017/S0266467409990459","Journal of Tropical Ecology","Wester",TRUE
"10.1017/S0266467409990599","Journal of Tropical Ecology","Sampaio",TRUE
"10.1017/S0376892914000204","Environmental Conservation","WONG",TRUE
"10.1023/A:1008623521755","Genetic Resources and Crop Evolution","Degreef",TRUE
"10.1023/A:1015520116260","Plant Ecology","Svenning",TRUE
"10.1023/A:1015593311183","Plant Ecology","Dinnétz",TRUE
"10.1023/A:1020310609348","Plant Ecology","Xavier Picó",TRUE
"10.1023/A:1024486606698","Plant Ecology","Rooney",TRUE
"10.1023/B:BIOC.0000029326.44647.7f","Biodiversity and Conservation","Souza",TRUE
"10.1023/B:VEGE.0000021662.78634.de","Plant Ecology (formerly Vegetatio)","Valverde",TRUE
"10.1023/B:VEGE.0000046052.35390.59","Plant Ecology formerly `Vegetatio'","Godínez-Alvarez",TRUE
"10.1023/B:VEGE.0000048094.21994.74","Plant Ecology formerly `Vegetatio'","Vega",TRUE
"10.1034/j.1600-0587.2002.250211.x","Ecography","Berg",TRUE
"10.1034/j.1600-0706.2000.880301.x","Oikos","Okland",TRUE
"10.1034/j.1600-0706.2003.11493.x","Oikos","Gustafsson",TRUE
"10.1038/sj.hdy.6800653","Heredity","Campbell",TRUE
"10.1046/j.1365-2664.1998.00280.x","Journal of Applied Ecology","Bernal",TRUE
"10.1046/j.1365-2664.2001.00586.x","Journal of Applied Ecology","Hunt",TRUE
"10.1046/j.1365-2664.2003.00842.x","Journal of Applied Ecology","Freckleton",TRUE
"10.1046/j.1365-2699.2000.00187.x","Global Ecology and Biogeography","Silva",TRUE
"10.1046/j.1365-2745.1998.00234.x","Journal of Ecology","Menges",TRUE
"10.1046/j.1365-2745.1998.00242.x","Journal of Ecology","Damman",TRUE
"10.1046/j.1365-2745.1999.00388.x","Journal of Ecology","Nantel",TRUE
"10.1046/j.1365-2745.1999.00420.x","Journal of Ecology","Golubov",TRUE
"10.1046/j.1365-2745.2000.00504.x","Journal of Ecology","Guardia",TRUE
"10.1046/j.1365-2745.2001.00566.x","Journal of Ecology","Lennartsson",TRUE
"10.1046/j.1365-2745.2001.00567.x","Journal of Ecology","Engel",TRUE
"10.1046/j.1365-2745.2002.00702.x","Journal of Ecology","Sanchez-Velasquez",TRUE
"10.1046/j.1365-3180.1998.00068.x","Weed Research","PINO",TRUE
"10.1046/j.1365-3180.2001.00244.x","Weed Research","Vidotto",TRUE
"10.1046/j.1440-1703.1998.00245.x","Ecological Research","Shimizu",TRUE
"10.1046/j.1442-1984.1999.00007.x","Plant Species Biology","Kaneko",TRUE
"10.1046/j.1442-1984.2001.00062.x","Plant Species Biology","OHARA",TRUE
"10.1046/j.1442-9993.2003.01246.x","Austral Ecology","Warton",TRUE
"10.1046/j.1469-8137.1999.00540.x","New Phytologist","EMERY",TRUE
"10.1046/j.1523-1739.1996.10010040.x","Conservation Biology","Ratsirarson",TRUE
"10.1046/j.1523-1739.1996.10020608.x","Conservation Biology","Nantel",TRUE
"10.1046/j.1523-1739.1997.96159.x","Conservation Biology","Maschinski",TRUE
"10.1046/j.1523-1739.2000.98393.x","Conservation Biology","Schwartz",TRUE
"10.1046/j.1523-1739.2002.00509.x","Conservation Biology","Lindborg",TRUE
"10.1046/j.1523-1739.2003.01431.x","Conservation Biology","Quintana-Ascencio",TRUE
"10.1051/forest:2007037","Annals of Forest Science","López",TRUE
"10.1071/BT06032","Australian Journal of Botany","Yates",TRUE
"10.1078/0367-2530-00151","Flora - Morphology, Distribution, Functional Ecology of Plants","Eckstein",TRUE
"10.1078/1439-1791-00192","Basic and Applied Ecology","Volis",TRUE
"10.1080/0028825X.1992.10412883","New Zealand Journal of Botany","Enright",TRUE
"10.1080/17550874.2012.662534","Plant Ecology & Diversity","García-Camacho",TRUE
"10.1086/282913","The American Naturalist","Namkoong",TRUE
"10.1086/284796","The American Naturalist","Solbrig",TRUE
"10.1086/284803","The American Naturalist","Platt",TRUE
"10.1086/285599","The American Naturalist","Alvarez-Buylla",TRUE
"10.1086/297381","International Journal of Plant Sciences","Negrón-Ortiz",TRUE
"10.1086/297607","International Journal of Plant Sciences","Floyd",TRUE
"10.1086/339719","International Journal of Plant Sciences","Rae",TRUE
"10.1086/507877","The American Naturalist","Kauffman",TRUE
"10.1086/510599","The American Naturalist","Evans",TRUE
"10.1086/510758","The American Naturalist","Campbell",TRUE
"10.1086/512040","International Journal of Plant Sciences","Ramula",TRUE
"10.1086/518178","The American Naturalist","Steets",TRUE
"10.1086/519008","International Journal of Plant Sciences","Mandujano",TRUE
"10.1086/605981","The American Naturalist","Zuidema",TRUE
"10.1086/661782","The American Naturalist","Eckhart",TRUE
"10.1093/aob/mcm204","Annals of Botany","Münzbergová",TRUE
"10.1093/aob/mcp047","Annals of Botany","Marcante",TRUE
"10.1093/aob/mcp188","Annals of Botany","Winkler",TRUE
"10.1093/aob/mcu082","Annals of Botany","Gross",TRUE
"10.1093/aobpla/plt041","AoB PLANTS","Gornish",TRUE
"10.1111/1365-2664.12057","Journal of Applied Ecology","Matlaga",TRUE
"10.1111/1365-2664.12217","Journal of Applied Ecology","Winter",TRUE
"10.1111/1365-2745.12140","Journal of Ecology","Gaoue",TRUE
"10.1111/1365-2745.12281","Journal of Ecology","Shefferson",TRUE
"10.1111/1365-2745.12430","Journal of Ecology","Sletvold",TRUE
"10.1111/aec.12045","Austral Ecology","Enright",TRUE
"10.1111/aje.12309","African Journal of Ecology","Stas",TRUE
"10.1111/gcb.12167","Global Change Biology","Sletvold",TRUE
"10.1111/gcb.12824","Global Change Biology","Stevens",TRUE
"10.1111/j.0014-3820.2000.tb01244.x","Evolution","Yonezawa",TRUE
"10.1111/j.0022-0477.2004.00907.x","Journal of Ecology","DAVELOS",TRUE
"10.1111/j.0030-1299.2007.15705.x","Oikos","Brody",TRUE
"10.1111/j.0272-4332.2004.00481.x","Risk Analysis","Neubert",TRUE
"10.1111/j.1095-8339.1998.tb02514.x","Botanical Journal of the Linnean Society","WELLS",TRUE
"10.1111/j.1095-8339.2007.00628.x","Botanical Journal of the Linnean Society","PINO",TRUE
"10.1111/j.1365-2486.2010.02292.x","Global Change Biology","GODFREE",TRUE
"10.1111/j.1365-2664.2004.00990.x","Journal of Applied Ecology","EMERY",TRUE
"10.1111/j.1365-2664.2005.01015.x","Journal of Applied Ecology","EHRLÉN",TRUE
"10.1111/j.1365-2664.2005.01100.x","Journal of Applied Ecology","BUCKLEY",TRUE
"10.1111/j.1365-2664.2006.01145.x","Journal of Applied Ecology","HANSEN",TRUE
"10.1111/j.1365-2664.2006.01148.x","Journal of Applied Ecology","PFEIFER",TRUE
"10.1111/j.1365-2664.2006.01228.x","Journal of Applied Ecology","JONGEJANS",TRUE
"10.1111/j.1365-2664.2007.01375.x","Journal of Applied Ecology","Ghimire",TRUE
"10.1111/j.1365-2664.2008.01550.x","Journal of Applied Ecology","Brown",TRUE
"10.1111/j.1365-2664.2008.01564.x","Journal of Applied Ecology","Verwer",TRUE
"10.1111/j.1365-2664.2009.01635.x","Journal of Applied Ecology","Crone",TRUE
"10.1111/j.1365-2664.2011.02078.x","Journal of Applied Ecology","Groenendijk",TRUE
"10.1111/j.1365-2664.2012.02156.x","Journal of Applied Ecology","Ticktin",TRUE
"10.1111/j.1365-2745.2004.00844.x","Journal of Ecology","Stokes",TRUE
"10.1111/j.1365-2745.2005.00958.x","Journal of Ecology","POORTER",TRUE
"10.1111/j.1365-2745.2005.01003.x","Journal of Ecology","JONGEJANS",TRUE
"10.1111/j.1365-2745.2005.01007.x","Journal of Ecology","VAN MANTGEM",TRUE
"10.1111/j.1365-2745.2005.01010.x","Journal of Ecology","NICOLÈ",TRUE
"10.1111/j.1365-2745.2006.01115.x","Journal of Ecology","ELDERD",TRUE
"10.1111/j.1365-2745.2006.01134.x","Journal of Ecology","WEPPLER",TRUE
"10.1111/j.1365-2745.2006.01147.x","Journal of Ecology","COLLING",TRUE
"10.1111/j.1365-2745.2006.01195.x","Journal of Ecology","SHEFFERSON",TRUE
"10.1111/j.1365-2745.2006.01209.x","Journal of Ecology","YAMADA",TRUE
"10.1111/j.1365-2745.2007.01279.x","Journal of Ecology","ENDELS",TRUE
"10.1111/j.1365-2745.2007.01287.x","Journal of Ecology","SLETVOLD",TRUE
"10.1111/j.1365-2745.2007.01291.x","Journal of Ecology","LESICA",TRUE
"10.1111/j.1365-2745.2007.01298.x","Journal of Ecology","LÓPEZ-HOFFMAN",TRUE
"10.1111/j.1365-2745.2007.01350.x","Journal of Ecology","Lucas",TRUE
"10.1111/j.1365-2745.2008.01375.x","Journal of Ecology","Levine",TRUE
"10.1111/j.1365-2745.2008.01416.x","Journal of Ecology","Schleuning",TRUE
"10.1111/j.1365-2745.2009.01585.x","Journal of Ecology","Dalgleish",TRUE
"10.1111/j.1365-2745.2009.01612.x","Journal of Ecology","Jongejans",TRUE
"10.1111/j.1365-2745.2011.01825.x","Journal of Ecology","Visser",TRUE
"10.1111/j.1365-2745.2011.01910.x","Journal of Ecology","Bullock",TRUE
"10.1111/j.1365-3180.1977.tb00498.x","Weed Research","FORBES",TRUE
"10.1111/j.1365-3180.1986.tb00697.x","Weed Research","FORCELLA",TRUE
"10.1111/j.1365-3180.2009.00703.x","Weed Research","BORGER",TRUE
"10.1111/j.1365-3180.2010.00787.x","Weed Research","VAN DEN BERG",TRUE
"10.1111/j.1440-6055.2006.00556.x","Australian Journal of Entomology","Raghu",TRUE
"10.1111/j.1442-1984.1987.tb00030.x","Plant Species Biology","Kinoshita",TRUE
"10.1111/j.1442-1984.1993.tb00062.x","Plant Species Biology","WHIGHAM",TRUE
"10.1111/j.1442-1984.1998.tb00253.x","Plant Species Biology","TAKADA",TRUE
"10.1111/j.1442-1984.2006.00145.x","Plant Species Biology","OHARA",TRUE
"10.1111/j.1442-1984.2007.00190.x","Plant Species Biology","SHIMATANI",TRUE
"10.1111/j.1442-1984.2009.00230.x","Plant Species Biology","MONDRAGÓN",TRUE
"10.1111/j.1442-9993.1979.tb01195.x","Austral Ecology","ENRIGHT",TRUE
"10.1111/j.1442-9993.1982.tb01304.x","Austral Ecology","ENRIGHT",TRUE
"10.1111/j.1442-9993.1985.tb00874.x","Austral Ecology","BURNS",TRUE
"10.1111/j.1442-9993.1988.tb00999.x","Austral Ecology","BRADSTOCK",TRUE
"10.1111/j.1442-9993.1994.tb01537.x","Austral Ecology","GRICE",TRUE
"10.1111/j.1442-9993.2006.01650.x","Austral Ecology","SOUZA",TRUE
"10.1111/j.1442-9993.2008.01921.x","Austral Ecology","CROWLEY",TRUE
"10.1111/j.1467-9876.2008.00657.x","Journal of the Royal Statistical Society: Series C (Applied Statistics)","Chagneau",TRUE
"10.1111/j.1469-8137.1984.tb03596.x","New Phytologist","BOORMAN",TRUE
"10.1111/j.1469-8137.1984.tb04155.x","New Phytologist","VERKAAR",TRUE
"10.1111/j.1469-8137.2007.02170.x","New Phytologist","Williams",TRUE
"10.1111/j.1523-1739.1990.tb00267.x","Conservation Biology","MENGES",TRUE
"10.1111/j.1523-1739.1998.97285.x","Conservation Biology","Gross",TRUE
"10.1111/j.1523-1739.2004.00567.x","Conservation Biology","KWIT",TRUE
"10.1111/j.1523-1739.2005.00216.x","Conservation Biology","BRYS",TRUE
"10.1111/j.1523-1739.2005.004108.x","Conservation Biology","THOMSON",TRUE
"10.1111/j.1523-1739.2006.00272.x","Conservation Biology","MASCHINSKI",TRUE
"10.1111/j.1523-1739.2006.00368.x","Conservation Biology","LEHTILA",TRUE
"10.1111/j.1523-1739.2008.01054.x","Conservation Biology","SCHLEUNING",TRUE
"10.1111/j.1523-1739.2008.01073.x","Conservation Biology","PATHIKONDA",TRUE
"10.1111/j.1523-1739.2009.01345.x","Conservation Biology","GAOUE",TRUE
"10.1111/j.1523-1739.2010.01466.x","Conservation Biology","GARCÍA",TRUE
"10.1111/j.1523-1739.2011.01691.x","Conservation Biology","MONDRAGÓN CHAPARRO",TRUE
"10.1111/j.1529-8817.2010.00924.x","Journal of Phycology","da Silva Vieira",TRUE
"10.1111/j.1600-0587.1985.tb01174.x","Ecography","Zhang",TRUE
"10.1111/j.1600-0587.2013.00216.x","Ecography","Valdés",TRUE
"10.1111/j.1600-0706.2011.19774.x","Oikos","Jacquemyn",TRUE
"10.1111/j.1600-0706.2011.19946.x","Oikos","Rodríguez-Pérez",TRUE
"10.1111/j.1654-109X.2004.tb00613.x","Applied Vegetation Science","Rautiainen",TRUE
"10.1111/j.1654-109X.2011.01138.x","Applied Vegetation Science","Cipriotti",TRUE
"10.1111/j.1654-1103.2004.tb02286.x","Journal of Vegetation Science","Hara",TRUE
"10.1111/j.1654-1103.2007.tb02519.x","Journal of Vegetation Science","Dostál",TRUE
"10.1111/j.1744-7429.2006.00220.x","Biotropica","Pascarella",TRUE
"10.1111/j.1744-7429.2008.00412.x","Biotropica","Holm",TRUE
"10.1111/j.1744-7429.2009.00615.x","Biotropica","Rigg",TRUE
"10.1111/j.2041-210X.2011.00104.x","Methods in Ecology and Evolution","Travis",TRUE
"10.1111/nph.12730","New Phytologist","Prendeville",TRUE
"10.1111/plb.12007","Plant Biology","Münzbergová",TRUE
"10.1126/science.172.3981.345","Science","Bosch",TRUE
"10.1139/b02-013","Canadian Journal of Botany","Salinas",TRUE
"10.1139/b02-070","Canadian Journal of Botany","Baltzer",TRUE
"10.1139/B03-099","Canadian Journal of Botany","Fröborg",TRUE
"10.1139/b75-331","Canadian Journal of Botany","Thomas",TRUE
"10.1139/cjb-2016-0052","Botany","Cameron",TRUE
"10.1300/J091v23n01_05","Journal of Sustainable Forestry","Valverde",TRUE
"10.1371/journal.pone.0056953","PLoS ONE","Münzbergová",TRUE
"10.1371/journal.pone.0075563","PLoS ONE","Černá",TRUE
"10.1371/journal.pone.0092177","PLoS ONE","Araújo",TRUE
"10.1371/journal.pone.0102859","PLoS ONE","Tremblay",TRUE
"10.1371/journal.pone.0139919","PLOS ONE","Gibert",TRUE
"10.15517/rbt.v58i1.5222","Revista de Biología Tropical","A. Arango",TRUE
"10.1590/S1516-89132013000100009 ","Brazilian Archives of Biology and Technology","Bianchini",TRUE
"10.1614/IPSM-08-135.1","Invasive Plant Science and Management","Lesica",TRUE
"10.1614/P2202-067","Weed Science","Magda",TRUE
"10.1646/1601","BIOTROPICA","Méndez",TRUE
"10.1658/1100-9233(2007)18[379:VIJSAR]2.0.CO;2","Journal of Vegetation Science","Aiba",TRUE
"10.1658/1100-9233(2007)18[91:PDOAIP]2.0.CO;2","Journal of Vegetation Science","Dostál",TRUE
"10.1674/0003-0031(2002)147[0256:EOPDOT]2.0.CO;2","The American Midland Naturalist","MEEKINS",TRUE
"10.1890/0012-9623-93.2.173","Bulletin of the Ecological Society of America","Caplat",TRUE
"10.1890/0012-9658(1999)080[2635:TRODDI]2.0.CO;2","Ecology","Silva Matos",TRUE
"10.1890/0012-9658(2000)081[0694:SSSAAN]2.0.CO;2","Ecology","Easterling",TRUE
"10.1890/0012-9658(2001)082[1720:ESOALV]2.0.CO;2","Ecology","Garnier",TRUE
"10.1890/0012-9658(2002)083[1991:AEFAFS]2.0.CO;2","Ecology","Picó",TRUE
"10.1890/0012-9658(2002)083[2617:TROSDI]2.0.CO;2","Ecology","Godínez-Alvarez",TRUE
"10.1890/0012-9658(2003)084[0932:APPIFH]2.0.CO;2","Ecology","Bruna",TRUE
"10.1890/0012-9658(2003)084[1464:TEOSTO]2.0.CO;2","Ecology","Kaye",TRUE
"10.1890/0012-9658(2006)87[2014:DOCAMP]2.0.CO;2","Ecology","Angert",TRUE
"10.1890/0012-9658(2006)87[3200:TIOIGO]2.0.CO;2","Ecology","Williams",TRUE
"10.1890/02-5219","Ecological Applications","Griffith",TRUE
